txt1	lvl11	lvl12	lvl13	lvl14	txt2	lvl21	lvl22	lvl23	lvl24	mantra_id	pratika
VS			10	5	MS		2	6	11	8	
VS			10	5	KS			15	7	8	
VS			10	5	ŚB	5	3	5	9	8	
VS			20	27a	ApŚ		10	24	5	13	aṃśunā te aṃśuḥ pṛcyatām
VS			20	27a	HirŚ		7	2	38	13	aṃśunā te aṃśuḥ pṛcyatām
VS			20	27a	KŚ		19	1	21	13	aṃśunā te
VS			5	7a	TS	6	2	2	4	22	
VS			5	7a	MS		1	2	7a	22	
VS			5	7a	MS		3	8	2	22	
VS			5	7a	KS			2	8a	22	
VS			5	7a	KS			24	9	22	
VS			5	7a	AB		1	26	4a	22	
VS			5	7a	GB		2	2	4a	22	
VS			5	7a	ŚB	3	4	3	18	22	
VS			5	7a	AŚ		4	5	6	22	
VS			5	7a	ŚŚ		5	8	3a	22	
VS			5	7a	Vait			13	23a	22	
VS			5	7a	LŚ		5	6	8a	22	
VS			5	7a	ApŚ		11	1	11	22	
VS			5	7a	MŚ	2	2	1	12	22	aṃśur-aṃśuṣ ṭe deva soma
VS			5	7a	KŚ		8	2	6	22	aṃśur-aṃśuḥ
VS			18	19	MS		2	11	5	26	
VS			18	19	KS			18	11	26	
RV		9	107	12c	SV			2	117c	34	
RV		7	56	13a	TB	2	8	5	5a	52	
VS			20	8b	KS			38	4b	57	
VS			20	8b	TB	2	6	5	5b	57	
VS			7	30	ŚB	4	3	1	20	58	
VS			7	30	KŚ		9	13	18	58	
RV		3	32	14c	MS		4	12	3c	60	
RV		3	32	14c	KS			8	16c	60	
RV		3	32	14c	KS			38	7c	60	
TS	1	4	14	1	MS		3	12	13	61	
TS	1	4	14	1	TB	3	10	7	1	61	
TS	1	4	14	1	ApŚ		8	20	8	61	
TS	1	4	14	1	ApŚ		12	27	5	61	
TS	1	4	14	1	MŚ	2	4	2	3	61	
AVŚ		19	42	4a	TS	1	6	12	4b	64	
RV		10	63	9b	TB	2	7	13	3b	65	
VS			4	13	ApŚ		10	13	9	67	
AVŚ		19	42	3a	TS	1	6	12	3a	69	
AVŚ		19	42	3a	MS		4	12	3a	69	
AVŚ		19	42	3a	KS			8	16a	69	
AVŚ		19	42	3a	TS	2	5	12	5	69	aṃhomuce
AVŚ		19	42	3a	MŚ	9	2	5	30	69	aṃhomuce
RV		1	107	1d	VS			33	68d	75	
RV		1	107	1d	TS	1	4	22	1d	75	
RV		1	107	1d	TS	2	1	11	4d	75	
RV		1	107	1d	MS		1	3	26d	75	
RV		1	107	1d	KS			4	10d	75	
RV		1	107	1d	ŚB	4	3	5	15d	75	
RV		3	47	5b	VS			7	36b	93	
RV		3	47	5b	TS	1	4	17	1b	93	
RV		3	47	5b	MS		1	3	21b	93	
RV		3	47	5b	KS			4	8b	93	
RV		3	47	5b	ŚB	4	3	3	14b	93	
RV		3	47	5b	TB	2	8	3	4b	93	
VS			11	22b	MS		2	7	2b	96	
VS			11	22b	KS			16	2b	96	
VS			11	22b	ŚB	6	3	3	14	96	
RV		1	187	6c	KS			40	8c	100	
RV		4	16	21c	RV		4	19	11c	102	
RV		4	16	21c	RV		4	20	11c	102	
RV		4	16	21c	RV		4	21	11c	102	
RV		4	16	21c	RV		4	22	11c	102	
RV		4	16	21c	RV		4	23	11c	102	
RV		4	16	21c	RV		4	24	11c	102	
RV		5	39	2d	JB			3	203d	111	
RV		5	39	2d	N			4	18	111	
RV		10	109	1b	AVP		9	15	1b	112	
RV		8	91	7d	AVP		4	26	7d	118	
RV		8	91	7d	JB			1	221d	118	
RV		10	44	6b	N			5	25b	120	
RV		10	84	4c	AVP		4	12	4c	122	
AVP		11	7	6b	PrāṇāgU				1b	127	
KS			31	11	TB	3	3	9	3	128	
KS			31	11	GG		1	8	27	128	
KS			31	11	KhG		2	1	26	128	
KS			31	11	ApŚ		3	6	1	128	aktaṃ rihāṇāḥ
MS		4	13	8	TB	3	6	13	1	131	
VS			3	47a	MS		1	10	2a	137	
VS			3	47a	KS			9	4a	137	
VS			3	47a	ŚB	2	5	2	29	137	
VS			3	47a	TB	1	6	5	5	137	
VS			3	47a	ApŚ		8	6	25	137	
VS			3	47a	HirŚ		5	2	51	137	
VS			3	47a	MŚ	1	7	4	16	137	
VS			3	47a	KŚ		5	5	13	137	akran karma
RV		10	45	4a	VS			12	21a	138	
RV		10	45	4a	VS			12	33a	138	
RV		10	45	4a	TS	1	3	14	2a	138	
RV		10	45	4a	TS	4	2	1	2a	138	
RV		10	45	4a	TS	4	2	2	2a	138	
RV		10	45	4a	MS		2	7	8a	138	
RV		10	45	4a	MS		3	2	2	138	
RV		10	45	4a	KS			16	8a	138	
RV		10	45	4a	KS			16	9a	138	
RV		10	45	4a	KS			16	10a	138	
RV		10	45	4a	AB		7	6	4	138	
RV		10	45	4a	ŚB	6	7	3	2	138	
RV		10	45	4a	ŚB	6	8	1	11	138	
RV		10	45	4a	AŚ		3	13	12	138	
RV		10	45	4a	ApMB		2	11	24a	138	
RV		10	45	4a	MS		2	7	9	138	akrandad agniḥ
RV		10	45	4a	MS		2	7	10	138	akrandad agniḥ
RV		10	45	4a	MS		4	10	2	138	akrandad agniḥ
RV		10	45	4a	KS			19	11	138	akrandad agniḥ
RV		10	45	4a	KS			19	12	138	akrandad agniḥ
RV		10	45	4a	KA			3	236	138	akrandad agniḥ
RV		10	45	4a	KŚ		16	5	14	138	akrandad agniḥ
RV		10	45	4a	KŚ		16	6	20	138	akrandad agniḥ
RV		10	45	4a	ApŚ		16	10	13	138	akrandad agniḥ
RV		10	45	4a	ApŚ		16	12	7	138	akrandad agniḥ
RV		10	45	4a	MŚ	6	1	4	11	138	akrandad agniḥ
RV		10	45	4a	TS	5	2	1	2	138	akrandat
RV		10	45	4a	TS	5	2	2	3	138	akrandat
VS			12	45d	MS		2	7	11d	140	
VS			12	45d	MS		3	2	3c	140	
VS			12	45d	KS			16	11d	140	
VS			12	45d	ŚB	7	1	1	4	140	
VS			12	45d	TB	1	2	1	16d	140	
RV		9	97	40a	SV			2	603a	145	
RV		9	97	40a	JB			3	240a	145	
RV		9	97	40a	PB		15	1	1	145	
RV		9	97	40a	TA		10	1	15a	145	
RV		9	97	40a	MahānU			6	1a	145	
RV		9	97	40a	N			14	6a	145	
RV		9	97	40a	JG			2	1	145	akrān samudraḥ
RV		9	97	40a	Svidh		1	4	20	145	akrān samudraḥ
RV		9	97	40a	JG			2	8	145	akrān
RV		9	97	40a	Svidh		1	6	3	145	akrān
VS			21	60	TB	2	6	15	2	152	
RV		1	82	2a	SV			1	415a	164	
RV		1	82	2a	VS			3	51a	164	
RV		1	82	2a	TS	1	8	5	2a	164	
RV		1	82	2a	MS		1	10	3a	164	
RV		1	82	2a	KS			9	6a	164	
RV		1	82	2a	ŚB	2	6	1	38a	164	
RV		1	82	2a	TB	1	6	9	9	164	
RV		1	82	2a	LŚ		5	2	10	164	
RV		1	82	2a	ApŚ		8	16	9	164	
RV		1	82	2a	HirŚ		5	4	81	164	
RV		1	82	2a	Svidh		1	4	20	164	
RV		1	82	2a	ŚŚ		3	17	2	164	akṣann amīmadanta
RV		1	82	2a	KŚ		5	9	21	164	akṣann amīmadanta
RV		1	82	2a	MŚ	1	1	2	39	164	akṣann amīmadanta
RV		1	82	2a	MŚ	1	7	6	55	164	akṣann amīmadanta
RV		1	82	2a	AG		4	7	26	164	akṣann amīmadanta
RV		1	82	2a	ŚG		1	15	3	164	akṣann amīmadanta
RV		1	82	2a	Kauś			88	27	164	akṣan
VS			19	36	KS			38	2	166	
VS			19	36	ŚB	12	8	1	8	166	
VS			19	36	TB	2	6	3	2	166	
VS			19	36	KŚ		19	3	18	166	
