id	word	grammar	preverbs	meanings
1	akāra	m		the letter or sound a
4	aṃśapradāna	n		allotment of a portion
5	aṃśabhūta	adj		forming part of
6	aṃśasvara	m		key-note or chief note in music
8	aṃśāṃśa	m		a part of a portion (of a deity); secondary incarnation
9	aṃśāṃsi	ind		share by share
10	aṃśāvataraṇa	n		descent of part of a deity; partial incarnation; title of sections 64-67 of the first book of the Mahabharata
11	aṃśitā	f		the state of a sharer or co-heir; heirship
13	aṃśudhara	m		sun
14	aṃśudhāna	n		name of a village
15	aṃśudhāraya	m		lamp
16	aṛṇin	adj		free from debt
17	aṃśa	m		share; portion; part; party; partition; inheritance; share of booty; earnest money; stake (in betting); denominator of a fraction; degree of latitude or longitude; day; Name of an Aditya; Los; a partial incarnation (aṃśāvatāra)
18	aṃśakaraṇa	n		act of dividing
19	aṃśaprakalpanā	f		allotment of a portion
20	aṃśabhāgin	adj		one who has a share; an heir; co-heir
21	aṃśavant	m		species of Soma plant
22	aṃśasavarṇana	n		reduction of fractions
23	aṃśahārin	adj		taking a share; sharer
24	aṃśaka	n		forming part; = saṃdhyāṃśa
25	aṃśin	adj		having a share
26	aṃśu	m		filament (especially of the Soma plant); a kind of Soma libation; thread; end of a thread; minute particle; point; end; array; sunbeam; cloth; name of a Ṛṣi; name of an ancient Vedic teacher; name of a prince
27	aṃśunadī	f		name of a river
28	aṃśupaṭṭa	n		a kind of cloth
29	aṃśupati	m		sun
30	autkaṇṭhya	n		desire; longing for; intensity
31	autkaṇṭhyavat	adj		desirous; longing for
32	autkarṣa	n		excellence
34	autkarṣya	n		excellence
35	autkya	n		desire; longing for
36	autkṣepa	adj		descendant of Utkshepa
37	auttaṅka	adj		relating or belonging to Uttanka
39	auttamika	adj		relating to the gods who are in the highest place (in the sky)
40	auttameya	m		descendant of Auttami
41	auttara	adj		living in the northern country
42	auttarapathika	adj		coming from or going towards the northern country
43	auttarapadika	adj		belonging to or occurring in the last member of a compound
44	auttarabhaktika	adj		employed or taken after a meal
45	auttaravedika	adj		relating to or performed on the northern altare; state of one thing being over the other; confusion
46	auttarārdhika	adj		being on or belonging to the upper or northern side
47	auttarāha	adj		of or belonging to the next day
48	auttareya	m		a descendant of Uttarā
49	auttānapāda	m		descendant of Uttānapāda; name of Dhruva (or the polar star)
50	auttānapādi	m		descendant of Uttānapāda; polar star
51	autthānika	adj		relating to the getting up or sitting up (of a child)
