id	word	wordnet21id	wordnetSupersenseId	wordnetSupersenseName
568	entity	anything having existence (living or nonliving)	_	_	_
569	being	any living entity	_	_	_
572	cell	the basic structural and functional unit of all organisms; cells may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals	_	_	_
573	causal agent	any entity that causes events to happen	_	_	_
574	person	a human being; "there was too much for one person to do"	00007	03	Tops
575	animal	a living organism characterized by voluntary movement	00015	03	Tops
576	plant	a living organism lacking the power of locomotion	00016	03	Tops
577	object	a physical (tangible and visible) entity; "it was full of rackets, balls and other objects"	_	_	_
578	natural object	an object occurring naturally; not made by man	00018	03	Tops
579	substance	that which has mass and occupies space; "an atom is the smallest indivisible unit of matter"	00019	03	Tops
580	food	any substance that can be metabolized by an organism to give energy and build tissue	00020	03	Tops
581	artifact	a man-made object	_	_	_
582	article	one of a class of artifacts; "an article of clothing"	00021	03	Tops
583	psychological feature	a feature of the mental life of a living organism	00022	03	Tops
584	abstraction	a general concept formed by extracting common features from specific examples	00002	03	Tops
585	knowledge	the psychological result of perception and learning and reasoning	00022	03	Tops
586	motivation	the psychological feature that arouses an organism to action; the reason for the action; "we did not understand his motivation"; "he acted with the best of motives"	_	_	_
587	feeling	the psychological feature of experiencing affective and emotional states; "he had a feeling of euphoria"	_	_	_
588	location	a point or extent in space	00026	03	Tops
589	shape	the spatial arrangement of something as distinct from its substance; "geometry is the mathematical science of shape"	00026	03	Tops
590	time	the continuum of experience in which events pass from the future through the present to the past	00026	03	Tops
591	space	the unlimited 3-dimensional expanse in which everything is located; "they tested his ability to locate objects in space"	_	_	_
592	state	the way something is with respect to its main attributes; "the current state of knowledge"; "his state of health"; "in a weak financial state"	00023	03	Tops
593	event	something that happens at a given place and time	00028	03	Tops
594	act	something that people do or cause to happen	00029	03	Tops
595	group	any number of entities (members) considered as a unit	00029	03	Tops
596	possession	anything owned or possessed	00031	03	Tops
597	attribute	an abstraction belonging to or characteristic of an entity	00023	03	Tops
598	relation	an abstraction belonging to or characteristic of two entities or parts together	00030	03	Tops
599	social relation	a relation between living organisms; esp between people	_	_	_
600	communication	something that is communicated between people or groups	_	_	_
601	measure	how much there is of something that you can measure = QUANTITY	_	_	_
602	phenomenon	any state or process known through the senses rather than by intuition or reasoning	00032	03	Tops
603	thing	an action; "how could you do such a thing?"	00032	04	act
604	kindness	a kind act	00032	04	act
