Abbreviation	Abbreviation VC	#entriesVC[21/10/27]	FullName	Group	inVedicCorpus	numChar	School	Source	PageNo
AĀ	AA	480	Aitareya-Āraṇyaka	Ā	yes	93926	RV		
AB	AB	1816	Aitareyabrāhmaṇa	B	yes	406215	RV		
ĀgnivGS			Agniveśyagṛhyasūtra	GS	yes	228173	Black YV		
ĀpDhS	ApDh	49	Āpastambadharmasūtra	DhS	yes	101504	Black YV		
ĀpGS	ApG	48	Āpastambagṛhyasūtra	GS	yes	28903	Black YV	Hillebrandt 1897	28
ĀpMP	ApMB	1865	Āpastambamantrapāṭha	other	no		Black YV		
ĀpŚS	ApŚ	7617	Āpastambaśrautasūtra	ŚS	yes	719131	Black YV	Hillebrandt 1897	28
ĀrṣB			Ārṣeyabrāhmana	B	no		SV		
ĀrṣK			Ārṣeyakalpa	KS	no		SV	Gonda 1975	534f.
ĀśvGS	AG	620	Āśvalāyanagṛhyasūtra	GS	yes	60257	RV	Hillebrandt 1897	24
ĀśvŚS	AŚ	3337	Āśvalāyanaśrautasūtra	ŚS	yes	327697	RV	Hillebrandt 1897	24
AthPrāy			Atharvaprayaścittāni	other	yes	78753	AV		
AU	AU	4	Aitareya-Upaniṣad	U	yes	7677	RV		
AVP	AVP	14863	Atharvaveda, Paippalāda recension	S	yes	1241155	AV		
AVPariś			Atharvavedapariśiṣṭas	other	yes	414617	AV		
AVŚ	AVŚ	20998	Atharvaveda, Śaunaka recension	S	yes	764231	AV		
BĀU	BṛhU	342	Bṛhadāraṇyaka-Upaniṣad	U	yes	130211	White YV		
BaudhDhS	BDh	501	Baudhāyanadharmasūtra	DhS	yes	146958	Black YV		
BaudhGS			Baudhāyanagṛhyasūtra	GS	yes	363357	Black YV	Hillebrandt 1897	28
BaudhŚS	BaudhŚ	30	Baudhāyanaśrautasūtra	ŚS	yes	1587465	Black YV	Hillebrandt 1897	28
BhārGS			Bhāradvājagṛhyasūtra	GS	yes	78493	Black YV	Hillebrandt 1897	28
BhārŚS	BhārŚ	1337	Bhāradvājaśrautasūtra	ŚS	part	344120	Black YV	Hillebrandt 1897	28
ChU	ChU	92	Chāndogya-Upaniṣad	U	yes	115150	SV		
DB	DB	6	Devatādhyāyabrāhmaṇa	B	yes	5770	SV		
DrāhŚS			Drāhyāyaṇaśrautasūtra	ŚS	no		SV		
GautDhS	GDh	60	Gautamadharmasūtra	DhS	yes	761197	SV		
GB	GB	789	Gopathabrāhmaṇa	B	yes	319457	AV		
GobhGS	GG	341	Gobhilagṛhyasūtra	GS	yes	61175	SV	Gonda 1977	609
HirGS	HG	1451	Hiraṇyakeśigṛhyasūtra	GS	yes	77224	Black YV	Hillebrandt 1897	28
HirŚS	HirŚ	415	Hiraṇyakeśiśrautasūtra	ŚS	part	237612	Black YV		
ĪU	ĪśāU	62	Īśā-Upaniṣad	U	yes	3777	White YV		
JaimGS	JG	684	Jaiminīyagṛhyasūtra	GS	yes	120176	SV	Gonda 1977	607
JaimŚS			Jaiminīyaśrautasūtra	ŚS	no		SV	Gonda 1977	542
JB	JB	2100	Jaiminīyabrāhmaṇa	B	yes	1239557	SV		
JUB	JUB	151	Jaiminīya-Upaniṣad-Brāhmaṇa	B	yes	157182	SV		
KapKS			Kapiṣṭhalakaṭhasaṃhitā	S	no		Black YV		
KarmaP	Karmap	27	Karmapradīpa	other	no		SV		
KaṭhĀ	KA (?)	792	Kaṭha-Āraṇyaka	Ā	yes	54917	Black YV		
KāṭhB			Kāṭhaka-Brāhmaṇa	B	yes	1259069	Black YV		
KāṭhGS			Kāṭhakagṛhyasūtra	GS	yes	103496	Black YV	Gonda 1977	598
KaṭhU	KU	44	Kaṭha-Upaniṣad	U	yes	17191	Black YV		
KātyŚS	KŚ	1989	Kātyāyanaśrautasūtra	ŚS	part	62767	White YV	Hillebrandt 1897	27
KātyŚulbaS			Kātyāyanaśulbasūtra	ŚulbaS	yes	6541	White YV		
KauṣĀ			Kauṣītaki-Āraṇyaka	Ā	no		RV		
KauṣB	KB	878	Kauṣītakībrāhmaṇa	B	yes	379528	RV		
KauṣGS			Kauṣītakigṛhyasūtra	GS	yes	63706	RV	Gonda 1977	606
KauśS	Kauś	2810	Kauśikasūtra	GS	yes	288205	AV		
KauṣU			Kauṣītaki-Upaniṣad	U	yes	40817	RV		
KauthGS			Kauthumagṛhyasūtra	GS	yes	25794	SV		
KenaU			Kena-Upaniṣad	U	yes	4838	SV		
KhādGS	KhG	191	Khādiragṛhyasūtra	GS	yes	24057	SV	Gonda 1977	611
KS	KS	12036	Kāṭhakasaṃhitā	S	yes	148514	Black YV		
LāṭŚS	LŚ	734	Lāṭyāyana-Śrautasūtra	ŚS	no		SV		
ManB			Mantrabrāhmaṇa	B	yes	48809	SV		
MāṇḍU			Māṇḍūkya-Upaniṣad	U	yes	3285	AV		
MānGS			Mānavagṛhyasūtra	GS	yes	59239	Black YV	Hillebrandt 1897	28
MānŚS	MŚ	4502	Mānavaśrautasūtra	ŚS	no		Black YV		
MānŚulbaS			Mānavaśulbasūtra	other	yes	24423	Black YV		
MS	MS	13393	Maitrāyaṇīsaṃhitā	S	yes	685451	Black YV		
MuṇḍU	MuṇḍU	19	Muṇḍaka-Upaniṣad	U	yes	12729	AV		
Nir	N	1911	Nirukta	other	yes	266838			
PārGS	PG	991	Pāraskaragṛhyasūtra	GS	yes	72422	White YV	Gonda 1977	602
PB	PB	894	Pañcaviṃśabrāhmaṇa	B	yes	376353	SV		
PraśU	PraśU	9	Praśna-Upaniṣad	U	yes	12098	AV		
ṚgVidh	Rvidh	230	Ṛgvidhāna	other	yes	94438	RV		
ṚV	RV	39455	Rigveda	S	yes	1297630	RV		
ṚVKh	RVKh	687	Ṛgvedakhilas	S	yes	97600	RV		
ṚVPrāt	RVPrātiśākhya	1	Ṛgvedaprātiśākhya	other	yes	154040	RV		
ṢaḍvB	ṢB	220	Ṣaḍviṃśabrāhmaṇa	B	no		SV		
ŚāṅkhĀ			Śāṅkhāyana-Āraṇyaka	Ā	yes	87997	RV		
ŚāṅkhGS	ŚG	916	Śāṅkhāyanagṛhyasūtra	GS	yes	135801	RV	Gonda 1977	605
ŚāṅkhŚS	ŚŚ	4463	Śāṅkhāyanaśrautasūtra	ŚS	yes	507728	RV	Hillebrandt 1897	24
ŚBK	ŚBK	3	Śatapathabrāhmaṇa, Kānva recension	B	no		White YV		
ŚBM	ŚB	6208	Śatapathabrāhmaṇa, Mādhyaṃdina recension	B	yes	1723187	White YV		
ŚK			Śāntikalpa	other	no				
SupA	Suparṇ	15	Suparṇādhyāya	other	yes		RV	Brereton 2019	535–544
ŚvetU	ŚvetU	77	Śvetāśvatara-Upaniṣad	U	yes	17187	Black YV	Oberlies 1995	65–68
SVidhB	Svidh	280	Sāmavidhānabrāhmaṇa	B	no		SV		
SVJ	SV	6138	Sāmavedasaṃhitā, Jaiminīya recension	S	no		SV		
SVK			Sāmavedasaṃhitā, Kauthuma recension	S	no		SV		
TĀ	TA	4229	Taittirīya-Āraṇyaka	Ā	yes	174497	Black YV		
TB	TB	8316	Taittirīyabrāhmaṇa	B	yes	632089	Black YV		
