1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
1.1.2	mantravidhiś cādigrahaṇena
1.1.3	uttarādiḥ pūrvāntalakṣaṇam
1.1.4	ekaśrutividhānān mantrān karmāṇi codgātaiva kuryād anādeśe
1.1.5	yāvadyajur anādiṣṭāntān mantrān
1.1.6	ṛcaś cādigrahaṇena
1.1.7	ṛtvig ārṣeyo 'nūcānaḥ sādhucaraṇo vāgmy anyūnāṅgo 'natiriktāṅgo dvayasataścānatikṛṣṇo 'natiśvetaḥ
1.1.8	yājyaś ca prathamais tribhir guṇair vyākhyātaḥ
1.1.9	somapravākam akariṣyan namaḥ somāya rājña ity uktvā pratyācakṣīta
1.1.10	mahan me voca iti kariṣyan pratimantrayeta
1.1.11	tan na jahyād aprokte 'pi kariṣyāmīti viditvā
1.1.12	āvathaḥ sasomapravākāya lavaṇam annaṃ dadhnāhārayet
1.1.13	prahiṇuyāt prastotṛsubrahmaṇyau purastāt karmabhyaḥ
1.1.14	prāgudakpravaṇaṃ devayajanaṃ lomaśam avṛkṣaṃ samaṃ
1.1.15	purastāc cāsyāpaḥ syuḥ
1.1.16	tadabhāve mahāvṛkṣa udapāno mahāpatho vā
1.1.17	na cāsya sthalataram adūre syāt
1.1.18	devayajanamātraṃ ca purastāt
1.1.19	viparyasyābhicaraṇīyeṣu sthalād anyad devayajanamātrāc ca
1.1.20	svayaṃ vrajet kraya upavasathye vā
1.1.21	udaṅṅeva tu gṛhebhyaḥ prathamaṃ devo devam etv iti
1.1.22	dūraṃ vrajitvā vihāya dauṣkṛtyam iti
1.1.23	vadvā nāmāsīti panthānam āpadya
1.1.24	uttaraṃ vedyantam ākramya dakṣiṇam īkṣamāṇaḥ pitaro bhūr iti
1.1.25	yajurantaraye 'nvāhāraṃ dhānañjapyaḥ
1.1.26	upekṣaṇaṃ śāṇḍilyaḥ
1.2.1	pṛthak sāvitrīpādair madhuparkasya pibet
1.2.2	tatraitad āharanti viṣṭaraṃ pādaprakṣālanam arghyam ācamanīyaṃ madhuparkam iti
1.2.3	tasya pibet
1.2.4	idadannamayaṃ rasa imā gāvaḥ sahaśriyeti tu purastād ekaikasya
1.2.5	vāg bahu bahu me bhūyād iti prathamasyopariṣṭāt prāṇo vai vāco bhūyān bahur me bhūyo bhūyād iti dvitīyasya mano vāva sarvaṃ sarvaṃ me bhūyād iti tṛtīyasya
1.2.6	sarve svāhākārāntāḥ
1.2.7	raso 'si vānaspatyo rasaṃ mayi dhehīti madhumanthasya pibed iti gautamo vānaspatya iti pravacanaṃ
1.2.8	tathā dadhimanthodamanthayoḥ payasyopayasya iti tu rasādeśaḥ
1.2.9	ete naiva pravacane kālindaḥ sārasvata iti vā
1.2.10	śeṣaṃ brāhmaṇāya dadyāt
1.2.11	tadabhāve 'dbhiḥ saṃprekṣyābrāhmaṇāya
1.2.12	kuruteti gavi proktāyāṃ brūyāt
1.2.13	utsṛjata gāṃ tṛṇāni gauratviti vā
1.2.14	sarveṣāṃ yajñopavītodakācamane nitye karmopayatām
1.2.15	avyavāyo 'vyāvṛttiś ca yajñāṅgaiḥ
1.2.16	prāṅmukhakaraṇaṃ cānādeśe
1.2.17	krīte rājani subrahmaṇya uttareṇa somavahanaṃ gatvāntareṇeṣe śamīśākhāṃ palāśaśākhāṃ vā sapalāśāṃ pāṇau kṛtvāvatiṣṭheta
1.2.18	adhvaryusaṃpraiṣaṃ sarvatrākāṅkṣet subrahmaṇyāyām
1.2.19	raśmī dhārayañśākhayā preṣyodgāvau dakṣiṇaṃ pūrvam
1.2.20	subrahmaṇyom iti trir āhvayet prāci vartamāne
1.2.21	ṣaṭkṛtvaḥ pratīci
1.2.22	pūrveṇa patnīśālāṃ vimukte chadiṣi śākhām avaguhya tām evaiṣām anūtkramya yathārthaṃ syāt
1.2.23	dakṣiṇam anaḍvāhaṃ subrahmaṇyāya dadyāt
1.2.24	ubhāv iti śāṭyāyanakaṃ vijñāyate karmasaṃyogāt
1.3.1	ātithyāyāṃ saṃsthitāyāṃ dakṣiṇasya dvārabādoḥ parastāt tiṣṭhann antarvedideśe 'nvārabdhe yajamāne patnyāṃ ca subrahmaṇyom iti trir uktvā nigadaṃ brūyād indrāgaccha hariva āgaccha medhātither meṣavṛṣaṇaśvasya mene gaurāvaskandinn ahalyāyai jāra kauśika brāhmaṇa gautama bruvāṇaitāvad ahe sutyām iti yāvad ahe syāt
1.3.2	adyeti samānāhani
1.3.3	devā brāhmaṇa āgacchatāgacchatāgacchateti gautamaḥ
1.3.4	āgaccheti pūrvaṃ devāhvānād dhānañjapyaḥ
1.3.5	āgaccha maghavann ity eke
1.3.6	pūrvayoḥ praṇavayor viramet
1.3.7	mene bruvāṇayoḥ
1.3.8	ṣaṇṇe jāre cāgneyyām
1.3.9	pṛthag yajate śabdeṣu ca
1.3.10	evaṃ triḥ
1.3.11	āhūya
1.3.12	patnīyajamānāv upahavam icchamānau subrahmaṇyopahvayasveti
1.3.13	upahūta ity upahavaḥ
1.3.14	upahūya yathārthaṃ syāt
1.3.15	evaṃ sarveṣapasandateṣu
1.3.16	yāś cordhvam upasadbhya utkare tu tatra tiṣṭhan
1.3.17	prāk sutyādeśān nāmagrāhaḥ
1.3.18	agnīṣomīyavapāyāṃ hutāyām parihṛtāsu vasatīvarīṣu prātaranuvākopakramavelāyām asau yajata iti pratyekaṃ gṛhṇīyād yajamānanāmadheyāny amuṣya putraḥ pautro napteti pūrveṣām
1.3.19	athāvareṣāṃ yathājyeṣṭhaṃ strīpuṃsāṃ ye jīveyuḥ
1.3.20	janiṣyamāṇānām ity uktvā sutyādeśaprabhṛti samāpayet
1.3.21	yāgnīṣomīyavapāyāṃ luptā sā sādyaḥkteṣu
1.4.1	agniṣṭutsvāgneyo nigadaḥ
1.4.2	tatra gautamīyam agna āgaccha rohitāyāṃ bṛhadbhāno dhūmaketo jātavedo vicarṣaṇa āṅgirasa brāhmaṇāṅgirasa bruvāṇeti prāk sutyādeśāt
1.4.3	devānāṃ sthāne 'gnayaḥ
1.4.4	atha dhānañjapyo 'gna āgaccha rohitava āgaccha bharadvājasyājasahasaḥ sūno vārāvaskandinn uṣaso jāretyāṅgirasaprabhṛti samānam
1.4.5	indraṃ śakreti brūyād viśva iti devān anirukteṣu
1.4.6	aniruktaprātaḥsavanayoś ca
1.4.7	abhiṣecanīyadaśapeyāvantareṇa sadā nāmagrāhaḥ
1.4.8	ahargaṇeṣv aharādyantayor āhvayet
1.4.9	uttarārthā harantikī
1.4.10	agnīṣomīyaprabhṛtyahīneṣu sarvāḥ sanāmagrāhāḥ
1.4.11	dīkṣānupūrveṇa dīkṣitānāṃ satreṣu nāmagrāhaḥ
1.4.12	ūrdhvam atirātrād agrahaṇam
1.4.13	tasyānte śvaḥsutyā gautamasya
1.4.14	nārmedhānta eke
1.4.15	adya sutyā śāṇḍilyasya
1.4.16	anāhvānaṃ dhānañjapyas tisṛṣu cottamāsu nāmagrāhaḥ
1.4.17	uttamayor iti gautamaḥ
1.4.18	tathā saty agnīṣomīyavapāyām agrahaṇaṃ dhānañjapyo 'nāhvānaṃ vā
1.4.19	sarvatra satreṣv agrahaṇaṃ śāṇḍilyaḥ
1.4.20	ūrdhvam atirātrād āgneyy ekā dvitīye pañcadaśarātre
1.4.21	dve vā
1.4.22	sarvāḥ prāk trikadrukebhyas tṛtīye
1.4.23	kauṇḍapāyinatāpaścitayor dvādaśāhe sutyeti viditvā parimāṇāhvānaṃ dhānañjapyaḥ
1.4.24	sutyām āgacchetītarāḥ
1.4.25	ūrdhvaṃ cātirātrāt prathamasya sārasvatasya prāk śvaḥ sutyāyāḥ
1.4.26	kauṇḍapāyinasārasvatayor iṣṭyayaneṣu sutyāvacchāṇḍilcaḥ
1.4.27	tathāgnihotramāse tathāgnihotramāse
1.5.1	sarvatrānādeśe parisāmāni prastotā gāyet svādhyāyavat svāsu
1.5.2	tṛcāpattīni tṛceṣu trir itarāṇi
1.5.3	antareṇa cātvālotkarau saṃcaraḥ sarvatrānādeśe
1.5.4	tad āpnānaṃ tīrtham
1.5.5	agnau cīyamāne paścimena pucchaṃ gatvā dakṣiṇe 'pikakṣe tiṣṭhed yatra vopadadhyuḥ
1.5.6	paścimena pakṣāv apikakṣau
1.5.7	pūrveṇopablayau
1.5.8	puṣkarapalāśa upadhīyamāne hiraṇmaye puruṣe svayamātṛṇṇāsu ca śarkarāsu vyāhṛtisāmāni gāyed yajamānaṃ satyaṃ puruṣo bhūr bhuvaḥ svar ity etāsu pṛthak
1.5.9	teṣāṃ sthāne svayaṃ cinvāna ṛtanidhanam ājyadohaṃ puruṣavratam ekānugānaṃ rathantaraṃ vāmadevyaṃ bṛhad iti
1.5.10	rathantaraprabhṛtīni vikalpante lokasāmabhir āvṛttaiḥ
1.5.11	saṃcitam agniṃ dakṣiṇena gatvāgna āyūṁṣīti pratyaṅmukhas tiṣṭhaṃśchirasi gāyatraṃ gāyen niruktam
1.5.12	pratyāvrajya rathantaraṃ dakṣiṇe pakṣa udaṅmukhaḥ paścād vā prāṅmukhaḥ
1.5.13	paścimena pucchaṃ gatvā bṛhaduttare pakṣe dakṣiṇāmukhaḥ paścād vā prāṅmukhaḥ
1.5.14	pratyāvrajya yajñāyajñīyaṃ pucche saṃvatsaraś ced daikṣaḥ sautyo vā
1.5.15	ṛtuṣṭhā yajñāyajñīyam anyatra
1.5.16	vāmadevyaṃ dakṣiṇe 'pi kakṣe tiṣṭhan gāyet prajāpatihṛdayam uttare
