1.1.1	brahma ca vā idam agre subrahma cāstām||
1.1.2	tataḥ subrahmodakrāmat||
1.1.3	atha ha devā yajñena brahma paryagṛhṇata||
1.1.4	agnir vai brahmāsāv ādityaḥ subrahma||
1.1.5	tad devā yajñasya saṃdhāv anvaicchan||
1.1.6	eṣa vai yajñasya saṃdhir yatraiṣa utkaraḥ||
1.1.7	tasmād utkare tiṣṭhant subrahmaṇyaḥ subrahmaṇyām āhvayati ||
1.1.8	subrahmaṇyo3m subrahmaṇyo3m subrahmaṇyo3m iti striyam iva trir āha||
1.1.9	triṣatyā hi devāḥ||
1.1.10	indrāgaccheti||
1.1.11	yad āhendrāgacchety etad vā asya pratyakṣaṃ nāma tenaivainaṃ tad āhvayati||
1.1.12	hariva āgaccheti||
1.1.13	pūrvapakṣāparapakṣau vā indrasya harī | tābhyāṃ hīdaṃ sarvaṃ harati||
1.1.14	medhātither meṣeti||
1.1.15	medhātithiṃ ha kāṇvyāyanaṃ meṣo bhūtvā jahāra||
1.1.16	vṛṣaṇaśvasya mena iti||
1.1.17	vṛṣaṇaśvasya ha menasya menakā nāma duhitāsa | tāṃ hendraś cakame||
1.1.18	gaurāvaskandinn iti||
1.1.19	gauramṛgo ha sma bhūtvāvaskandyāraṇyād rājānaṃ pibati||
1.1.20	ahalyāyai jāreti||
1.1.21	ahalyāyā ha maitreyyā jāra āsa||
1.1.22	kauśika brāhmaṇeti||
1.1.23	kauśiko ha smaināṃ brāhmaṇa upanyeti||
1.1.24	gautama bruvāṇeti||
1.1.25	devāsurā ha saṃyattā āsan | tān antareṇa gautamaḥ śaśrāma | tam indra upetyovāceha no bhavānt spaśaś caratv iti | nāham utsaha iti | athāhaṃ bhavato rūpeṇa carāṇīti | sa yathā manyasa iti | sa yat tat gautamo vā bruvāṇaś cacāra gautamarūpeṇa vā tad etad āha gautameti||
1.1.26	ity ahe sutyām āgaccha maghavann iti||
1.1.27	tad yathārhato brūyād ity ahe vaḥ paktāsmi tad āgacchatety evam evaitad devebhyaḥ sutyāṃ prāha||
1.1.28	devā brahmāṇa iti||
1.1.29	devā haiva devā atha haite manuṣyadevā ye brāhmaṇāḥ śuśruvāṃso 'nūcānās te manuṣyadevāḥ||
1.1.30	āhutaya eva [bhāgadheyaṃ] devānāṃ dakṣiṇā manuṣyadevānām | āhutibhir ha devān prīṇāti | dakṣiṇābhir manuṣyadevān śuśruvuṣo 'nūcānān brāhmaṇān prīṇāti||
1.2.1	atha yatra subrahmaṇyaḥ subrahmaṇyām āhvayaty etasmin ha kāle 'surarakṣāṃsi devānāṃ yajñam ajighāṃsan ||
1.2.2	te devā nihavam evākurvata brahmo3m subrahmo3m iti ||
1.2.3	tān ādityaḥ parjanyaḥ purobalāko bhūtvābhiprait | tān vṛṣṭyāśanyā vidyutāhan ||
1.2.4	tad āhuḥ strī subrahmaṇyā3 pumā3n napuṃsakā3m iti ||
1.2.5	sarvam eveti brūyāt ||
1.2.6	yat parjanyaḥ purobalāko bhūtvābhiprait tena pumān | yad vṛṣṭyā yad aśanyā tena strī | yad vidyutā tena napuṃsakam | tasmāt sarvam eveti brūyāt ||
